from,to,cve,cvss,weight,severity,product
INTERNET,FW-VPN,CVE-2023-27997,9.8,0.2,CRITICAL,Fortinet FortiOS
INTERNET,GW-EDGE,CVE-2019-19781,9.8,0.2,CRITICAL,Citrix ADC / Gateway
FW-VPN,WEB-01,CVE-2022-22965,9.8,0.2,CRITICAL,Spring Framework (Spring4Shell)
FW-VPN,APP-02,CVE-2021-44228,10.0,0.1,CRITICAL,Apache Log4j (Log4Shell)
GW-EDGE,APP-02,CVE-2020-5902,9.8,0.2,CRITICAL,F5 BIG-IP TMUI
WEB-01,SMB-FILES,CVE-2017-0144,8.1,1.9,HIGH,Microsoft SMBv1 (EternalBlue)
WEB-01,MAIL-EX,CVE-2023-21554,9.8,0.2,CRITICAL,Microsoft MSMQ (QueueJumper)
APP-02,RDP-JUMP,CVE-2019-0708,9.8,0.2,CRITICAL,Microsoft RDP (BlueKeep)
APP-02,MAIL-EX,CVE-2019-0708,9.8,0.2,CRITICAL,Microsoft RDP (BlueKeep)
SMB-FILES,DC-01,CVE-2021-3156,7.8,2.2,HIGH,Sudo (Baron Samedit)
SMB-FILES,WS-ADMIN,CVE-2022-0847,7.8,2.2,HIGH,Linux Kernel (Dirty Pipe)
RDP-JUMP,DC-01,CVE-2021-4034,7.8,2.2,HIGH,Polkit pkexec (PwnKit)
MAIL-EX,WS-ADMIN,CVE-2019-0708,9.8,0.2,CRITICAL,Microsoft RDP (BlueKeep)
DC-01,DB-CRITICAL,CVE-2019-19781,9.8,0.2,CRITICAL,Citrix ADC / Gateway
WS-ADMIN,DB-CRITICAL,CVE-2019-10149,9.8,0.2,CRITICAL,Exim MTA
