id_actuador,fecha_medicion,tiempo_uso_acumulado_h,ciclos_activacion_M,numero_reparaciones,fallos_temporales,temp_operacional_promedio_C,temp_maxima_alcanzada_C,dias_ultima_calibracion,dias_ultimo_servicio,numero_logs_error
A1_Cadera_Derecha,2024-01-01,3454.85,31.03,0,10,59.96,71.37,232,308,82
A1_Cadera_Derecha,2024-01-02,3212.8,30.51,1,13,61.88,71.38,216,303,97
A1_Cadera_Derecha,2024-01-03,3535.08,31.78,2,13,61.3,66.93,281,318,95
A1_Cadera_Derecha,2024-01-04,3569.3,33.19,4,15,58.68,70.67,283,327,100
A1_Cadera_Derecha,2024-01-05,3048.81,26.78,2,13,60.89,71.91,274,291,92
A1_Cadera_Derecha,2024-01-06,3165.61,28.57,4,15,61.42,70.56,250,340,100
A1_Cadera_Derecha,2024-01-07,3423.01,30.17,3,14,59.56,67.56,274,321,97
A1_Cadera_Derecha,2024-01-08,3343.08,30.05,2,12,61.3,73.39,245,267,90
A1_Cadera_Derecha,2024-01-09,3396.98,31.72,3,13,58.67,69.84,249,265,100
A1_Cadera_Derecha,2024-01-10,3246.45,27.79,4,17,63.14,78.16,220,319,100
A1_Cadera_Derecha,2024-01-11,3558.29,32.78,3,14,63.0,74.3,253,313,100
A1_Cadera_Derecha,2024-01-12,3540.0,32.42,5,15,60.6,71.83,246,317,100
A1_Cadera_Derecha,2024-01-13,3411.89,30.42,4,16,61.58,71.76,216,319,100
A1_Cadera_Derecha,2024-01-14,3602.9,31.31,3,14,57.14,69.2,243,326,100
A1_Cadera_Derecha,2024-01-15,3484.15,31.75,1,10,59.15,70.84,243,346,83
A1_Cadera_Derecha,2024-01-16,3245.33,28.97,2,14,60.53,73.41,284,288,100
A1_Cadera_Derecha,2024-01-17,3466.38,31.75,2,14,59.28,68.79,264,287,99
A1_Cadera_Derecha,2024-01-18,3227.4,29.36,1,12,62.14,71.82,245,289,90
A1_Cadera_Derecha,2024-01-19,3558.12,33.95,1,13,64.2,73.79,250,328,91
A1_Cadera_Derecha,2024-01-20,3391.01,30.59,1,10,59.12,71.12,245,354,79
A1_Cadera_Derecha,2024-01-21,3366.72,29.58,1,12,59.66,73.01,240,307,84
A1_Cadera_Derecha,2024-01-22,3277.43,29.97,3,14,61.38,71.0,221,249,100
A1_Cadera_Derecha,2024-01-23,3620.06,33.13,2,13,63.58,73.27,241,272,95
A1_Cadera_Derecha,2024-01-24,3372.18,32.02,1,13,59.04,70.14,228,296,90
A1_Cadera_Derecha,2024-01-25,3322.9,31.04,3,16,61.4,71.43,217,304,100
A1_Cadera_Derecha,2024-01-26,3336.62,30.69,2,16,63.91,76.22,256,308,100
A1_Cadera_Derecha,2024-01-27,3495.82,33.24,1,13,58.36,64.58,253,321,93
