id_actuador,fecha_medicion,tiempo_uso_acumulado_h,ciclos_activacion_M,numero_reparaciones,fallos_temporales,temp_operacional_promedio_C,temp_maxima_alcanzada_C,dias_ultima_calibracion,dias_ultimo_servicio,numero_logs_error,cluster
A1_Cadera_Derecha,2024-01-01,1868.38,16.11,0,3,52.85,62.88,99,163,8,0
A1_Cadera_Derecha,2024-01-02,748.59,6.18,0,0,47.44,50.45,181,316,0,1
A1_Cadera_Derecha,2024-01-03,2817.33,28.7,0,1,54.51,63.76,89,201,3,3
A1_Cadera_Derecha,2024-01-04,565.87,6.37,0,1,51.58,61.73,178,344,1,1
A1_Cadera_Derecha,2024-01-05,1068.12,12.34,1,3,45.98,50.7,125,221,20,0
A1_Cadera_Derecha,2024-01-06,1564.78,14.33,1,5,54.1,61.31,206,338,19,1
A1_Cadera_Derecha,2024-01-07,1533.86,15.45,1,3,47.3,59.94,128,182,20,0
A1_Cadera_Derecha,2024-01-08,2964.67,31.69,1,2,53.9,56.46,190,281,7,3
A1_Cadera_Derecha,2024-01-09,2211.04,19.69,0,1,48.17,55.24,92,215,4,0
A1_Cadera_Derecha,2024-01-10,1082.73,10.17,1,1,53.29,60.6,138,265,3,1
A1_Cadera_Derecha,2024-01-11,2260.53,20.11,3,4,48.62,57.33,128,249,32,3
A1_Cadera_Derecha,2024-01-12,2546.95,23.24,3,6,52.96,58.12,127,290,30,2
A1_Cadera_Derecha,2024-01-13,1909.55,16.02,2,7,52.05,53.8,165,362,39,2
A1_Cadera_Derecha,2024-01-14,2186.71,21.57,0,0,48.95,49.73,153,343,0,1
A1_Cadera_Derecha,2024-01-15,900.88,7.98,0,0,46.88,52.77,217,365,0,1
A1_Cadera_Derecha,2024-01-16,2444.27,20.32,0,1,56.3,63.52,192,365,5,1
A1_Cadera_Derecha,2024-01-17,559.41,4.51,0,2,48.17,64.49,238,254,6,1
A1_Cadera_Derecha,2024-01-18,499.26,5.14,0,4,47.46,61.46,58,66,14,0
A1_Cadera_Derecha,2024-01-19,2364.33,21.58,3,10,54.16,56.92,188,365,45,2
A1_Cadera_Derecha,2024-01-20,2173.21,25.26,2,7,55.76,59.78,100,108,32,2
A1_Cadera_Derecha,2024-01-21,919.22,10.15,1,2,46.55,52.55,55,133,10,0
A1_Cadera_Derecha,2024-01-22,1211.41,10.23,0,0,56.7,60.62,121,240,0,0
A1_Cadera_Derecha,2024-01-23,1180.12,10.79,0,1,48.99,55.98,125,139,6,0
A1_Cadera_Derecha,2024-01-24,2229.07,20.31,1,7,56.36,60.78,71,159,37,2
