fraccion_eliminada,eficiencia,n_componentes,tamanio_cgc,estrategia
0.0,0.20821202245507564,1.0,177.0,aleatorio
0.05,0.1790850404174543,6.2,147.8,aleatorio
0.1,0.15270387954114545,15.8,128.0,aleatorio
0.15,0.12219868569007905,25.6,102.6,aleatorio
0.2,0.11315810905262728,31.8,93.6,aleatorio
0.25,0.09413303279844668,38.4,78.0,aleatorio
0.3,0.08703422142446532,39.4,69.4,aleatorio
0.35,0.08461889185277484,38.4,63.8,aleatorio
0.4,0.07651566550967012,40.4,51.6,aleatorio
0.45,0.0735964799629854,39.2,44.8,aleatorio
0.5,0.040568546621917285,44.2,25.0,aleatorio
0.55,0.0332326702833032,42.8,18.0,aleatorio
0.6,0.03255878125898247,38.8,14.4,aleatorio
0.65,0.02556420135478834,38.6,10.2,aleatorio
0.7,0.01800605637083625,37.8,6.8,aleatorio
0.75,0.017424242424242425,33.4,5.0,aleatorio
0.8,0.017883597883597883,27.8,4.6,aleatorio
0.85,0.018708452041785374,22.0,3.8,aleatorio
0.9,0.00980392156862745,16.6,2.0,aleatorio
0.95,0.0,9.0,1.0,aleatorio
1.0,0.0,0.0,0.0,aleatorio
0.0,0.20821202245507564,1.0,177.0,grado_desc
0.05,0.050000299862936956,55.0,75.0,grado_desc
0.1,0.010560796645702322,86.0,9.0,grado_desc
0.15,0.005364238410596025,105.0,5.0,grado_desc
0.2,0.0035211267605633804,113.0,5.0,grado_desc
0.25,0.0019366598313966736,117.0,3.0,grado_desc
0.3,0.0011146079202727511,116.0,3.0,grado_desc
0.35,0.00014992503748125936,115.0,2.0,grado_desc
0.4,0.0,107.0,1.0,grado_desc
0.45,0.0,98.0,1.0,grado_desc
0.5,0.0,89.0,1.0,grado_desc
0.55,0.0,80.0,1.0,grado_desc
0.6,0.0,71.0,1.0,grado_desc
0.65,0.0,62.0,1.0,grado_desc
0.7,0.0,54.0,1.0,grado_desc
0.75,0.0,45.0,1.0,grado_desc
0.8,0.0,36.0,1.0,grado_desc
0.85,0.0,27.0,1.0,grado_desc
0.9,0.0,18.0,1.0,grado_desc
0.95,0.0,9.0,1.0,grado_desc
1.0,0.0,0.0,0.0,grado_desc
0.0,0.20821202245507564,1.0,177.0,betweenness
0.05,0.039898926368706865,23.0,52.0,betweenness
0.1,0.018051811919736396,63.0,24.0,betweenness
0.15,0.007954378219278887,91.0,6.0,betweenness
0.2,0.00383744547664236,110.0,5.0,betweenness
0.25,0.001822738664843928,117.0,2.0,betweenness
0.3,0.0009179124049305009,117.0,2.0,betweenness
0.35,0.0,116.0,1.0,betweenness
0.4,0.0,107.0,1.0,betweenness
0.45,0.0,98.0,1.0,betweenness
0.5,0.0,89.0,1.0,betweenness
0.55,0.0,80.0,1.0,betweenness
0.6,0.0,71.0,1.0,betweenness
0.65,0.0,62.0,1.0,betweenness
0.7,0.0,54.0,1.0,betweenness
0.75,0.0,45.0,1.0,betweenness
0.8,0.0,36.0,1.0,betweenness
0.85,0.0,27.0,1.0,betweenness
0.9,0.0,18.0,1.0,betweenness
0.95,0.0,9.0,1.0,betweenness
1.0,0.0,0.0,0.0,betweenness
0.0,0.20821202245507564,1.0,177.0,grado_asc
0.05,0.2100924182654892,1.0,169.0,grado_asc
0.1,0.2125252184921962,1.0,160.0,grado_asc
0.15,0.21604850778360732,1.0,151.0,grado_asc
0.2,0.21845907452740565,1.0,142.0,grado_asc
0.25,0.22289396668242623,1.0,133.0,grado_asc
0.3,0.2264875062868847,1.0,124.0,grado_asc
0.35,0.22962186655590336,1.0,116.0,grado_asc
0.4,0.23574801342391186,1.0,107.0,grado_asc
0.45,0.24345275665494567,1.0,98.0,grado_asc
0.5,0.2521304998769227,1.0,89.0,grado_asc
0.55,0.26723994008803964,1.0,80.0,grado_asc
0.6,0.28095892817220786,1.0,71.0,grado_asc
0.65,0.3015596014538407,1.0,62.0,grado_asc
0.7,0.31416508602043647,2.0,53.0,grado_asc
0.75,0.3452645502645519,1.0,45.0,grado_asc
0.8,0.30396825396825256,3.0,29.0,grado_asc
0.85,0.2863247863247869,3.0,20.0,grado_asc
0.9,0.21895424836601313,4.0,9.0,grado_asc
0.95,0.18055555555555555,5.0,4.0,grado_asc
1.0,0.0,0.0,0.0,grado_asc
