estrategia,fraccion_inm,R_final,fraccion_afectada
aleatorio,0.0,157,0.8870056497175142
aleatorio,0.05,108,0.6101694915254238
aleatorio,0.1,118,0.6666666666666666
aleatorio,0.15,98,0.5536723163841808
aleatorio,0.2,105,0.5932203389830508
aleatorio,0.3,60,0.3389830508474576
grado,0.0,140,0.7909604519774012
grado,0.05,104,0.5875706214689266
grado,0.1,40,0.22598870056497175
grado,0.15,16,0.0903954802259887
grado,0.2,7,0.03954802259887006
grado,0.3,3,0.01694915254237288
betweenness,0.0,140,0.7909604519774012
betweenness,0.05,95,0.536723163841808
betweenness,0.1,54,0.3050847457627119
betweenness,0.15,35,0.1977401129943503
betweenness,0.2,11,0.062146892655367235
betweenness,0.3,1,0.005649717514124294
vecino,0.0,116,0.655367231638418
vecino,0.05,115,0.6497175141242938
vecino,0.1,79,0.4463276836158192
vecino,0.15,45,0.2542372881355932
vecino,0.2,36,0.2033898305084746
vecino,0.3,2,0.011299435028248588
