t,S,I,R,caso,beta
0,176,1,0,sub_critico,0.0931
1,174,3,0,sub_critico,0.0931
2,173,3,1,sub_critico,0.0931
3,172,4,1,sub_critico,0.0931
4,171,5,1,sub_critico,0.0931
5,170,6,1,sub_critico,0.0931
6,169,6,2,sub_critico,0.0931
7,168,7,2,sub_critico,0.0931
8,167,8,2,sub_critico,0.0931
9,164,10,3,sub_critico,0.0931
10,163,9,5,sub_critico,0.0931
11,161,10,6,sub_critico,0.0931
12,159,12,6,sub_critico,0.0931
13,156,14,7,sub_critico,0.0931
14,153,16,8,sub_critico,0.0931
15,152,15,10,sub_critico,0.0931
16,149,16,12,sub_critico,0.0931
17,146,18,13,sub_critico,0.0931
18,144,19,14,sub_critico,0.0931
19,141,22,14,sub_critico,0.0931
20,138,22,17,sub_critico,0.0931
21,136,23,18,sub_critico,0.0931
22,135,21,21,sub_critico,0.0931
23,134,19,24,sub_critico,0.0931
24,131,20,26,sub_critico,0.0931
25,130,18,29,sub_critico,0.0931
26,130,17,30,sub_critico,0.0931
27,129,16,32,sub_critico,0.0931
28,128,16,33,sub_critico,0.0931
29,128,13,36,sub_critico,0.0931
30,128,12,37,sub_critico,0.0931
31,127,13,37,sub_critico,0.0931
32,127,11,39,sub_critico,0.0931
33,127,10,40,sub_critico,0.0931
34,127,10,40,sub_critico,0.0931
35,126,9,42,sub_critico,0.0931
36,126,7,44,sub_critico,0.0931
37,125,8,44,sub_critico,0.0931
38,125,8,44,sub_critico,0.0931
39,125,8,44,sub_critico,0.0931
40,124,6,47,sub_critico,0.0931
41,124,6,47,sub_critico,0.0931
42,124,4,49,sub_critico,0.0931
43,124,4,49,sub_critico,0.0931
44,124,3,50,sub_critico,0.0931
45,124,2,51,sub_critico,0.0931
46,124,2,51,sub_critico,0.0931
47,124,2,51,sub_critico,0.0931
48,124,2,51,sub_critico,0.0931
49,124,2,51,sub_critico,0.0931
50,124,2,51,sub_critico,0.0931
0,176,1,0,sobre_critico,0.3722
1,167,10,0,sobre_critico,0.3722
2,158,17,2,sobre_critico,0.3722
3,150,23,4,sobre_critico,0.3722
4,138,35,4,sobre_critico,0.3722
5,133,35,9,sobre_critico,0.3722
6,128,35,14,sobre_critico,0.3722
7,125,30,22,sobre_critico,0.3722
8,121,32,24,sobre_critico,0.3722
9,116,34,27,sobre_critico,0.3722
10,106,43,28,sobre_critico,0.3722
11,97,50,30,sobre_critico,0.3722
12,90,52,35,sobre_critico,0.3722
13,81,59,37,sobre_critico,0.3722
14,74,57,46,sobre_critico,0.3722
15,66,62,49,sobre_critico,0.3722
16,60,63,54,sobre_critico,0.3722
17,50,68,59,sobre_critico,0.3722
18,43,64,70,sobre_critico,0.3722
19,37,64,76,sobre_critico,0.3722
20,36,58,83,sobre_critico,0.3722
21,35,54,88,sobre_critico,0.3722
22,35,52,90,sobre_critico,0.3722
23,34,49,94,sobre_critico,0.3722
24,34,45,98,sobre_critico,0.3722
25,34,41,102,sobre_critico,0.3722
26,34,38,105,sobre_critico,0.3722
27,34,31,112,sobre_critico,0.3722
28,34,31,112,sobre_critico,0.3722
29,34,29,114,sobre_critico,0.3722
30,34,27,116,sobre_critico,0.3722
31,34,23,120,sobre_critico,0.3722
32,34,23,120,sobre_critico,0.3722
33,34,21,122,sobre_critico,0.3722
34,34,20,123,sobre_critico,0.3722
35,34,20,123,sobre_critico,0.3722
36,34,19,124,sobre_critico,0.3722
37,34,15,128,sobre_critico,0.3722
38,34,12,131,sobre_critico,0.3722
39,34,12,131,sobre_critico,0.3722
40,34,12,131,sobre_critico,0.3722
41,34,11,132,sobre_critico,0.3722
42,34,9,134,sobre_critico,0.3722
43,34,6,137,sobre_critico,0.3722
44,34,5,138,sobre_critico,0.3722
45,34,4,139,sobre_critico,0.3722
46,34,3,140,sobre_critico,0.3722
47,34,3,140,sobre_critico,0.3722
48,34,3,140,sobre_critico,0.3722
49,34,3,140,sobre_critico,0.3722
50,34,3,140,sobre_critico,0.3722
