pieza_id,clase_latente,kmeans_cluster,louvain_comunidad
14,1,2,1
33,1,2,1
109,3,1,3
9,1,2,1
72,2,3,2
13,1,2,1
117,3,1,3
79,2,3,2
1,1,2,1
68,2,3,2
47,1,2,1
70,2,3,2
110,3,1,3
48,1,2,1
12,1,2,1
31,1,2,1
75,2,3,2
10,1,2,1
106,3,1,3
94,3,1,3
82,2,3,2
67,2,3,2
5,1,2,1
99,3,1,3
40,1,2,1
120,3,1,3
113,3,1,3
112,3,1,3
7,1,2,1
32,1,2,1
101,3,1,3
78,2,3,2
64,2,3,2
26,1,2,1
22,1,2,1
119,3,1,3
53,2,3,2
90,2,3,2
30,1,2,1
83,2,3,2
46,1,2,1
93,3,1,3
85,2,3,2
34,1,2,1
41,1,2,1
87,2,3,2
86,2,3,2
6,1,2,1
102,3,1,3
111,3,1,3
103,3,1,3
35,1,2,1
15,1,2,1
107,3,1,3
50,2,3,2
98,3,1,3
81,2,3,2
18,1,2,1
77,2,3,2
59,2,3,2
55,2,3,2
88,2,3,2
39,1,2,1
11,1,2,1
8,1,2,1
56,2,3,2
58,2,3,2
57,2,3,2
116,3,1,3
29,1,2,1
54,2,3,2
71,2,3,2
16,1,2,1
3,1,2,1
52,2,3,2
44,1,2,1
95,3,1,3
100,3,1,3
69,2,3,2
19,1,2,1
51,2,3,2
25,1,2,1
43,1,2,1
96,3,1,3
